,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
0,15,1511.43,1375614,1360.51,58,30,8,87,67,91,19,27,39,110,True,True,False,1456536770
1,1883502,1568.6,1478921,1000,89,90,4,71,101,7,92,17,55,19,True,False,True,1435249319
2,350190,1338.47,5026801,1398.97,89,120,68,54,23,86,72,38,90,25,False,True,False,1523801431
3,5017210,1000,1951061,1203.65,78,87,69,72,40,57,19,27,76,7,True,False,False,1514887259
4,1846548,1142.55,2006913,1291.81,111,30,13,7,81,20,53,6,47,87,False,True,True,1455901288
6,36,1186.73,15,1511.43,53,20,91,21,6,106,111,38,76,84,True,False,False,1460836175
7,5076377,1000,2640025,1232.58,51,30,39,69,63,3,107,13,19,109,False,True,True,1512972556
10,3930476,1000,4254415,1034.16,58,60,112,44,23,56,84,91,114,4,False,True,False,1506013397
11,2042882,1075.21,2384932,1144.84,69,112,21,31,67,3,73,19,62,7,False,False,True,1449355234
30,294506,1068.41,1292509,1000,26,45,11,21,28,39,51,8,66,50,True,False,True,1433470082
34,2108395,1429.43,3718685,1100.67,28,55,95,87,13,83,104,25,8,90,True,True,False,1494144128
35,15,1511.43,1520578,1094.09,65,111,87,74,6,86,8,7,63,17,False,True,True,1479562738
36,5,1294.52,15,1511.43,64,34,86,38,1,41,30,91,8,11,True,False,False,1479456824
38,2537636,1000,4103958,1036.24,84,76,88,27,109,102,5,35,54,16,False,True,False,1490108975
39,2777247,1242.13,2860414,1000,38,30,2,77,46,20,8,74,50,80,True,True,True,1466334368
40,2006913,1291.81,46,1171.65,90,99,16,102,13,3,60,95,15,33,False,True,True,1496073463
41,3326875,1269.74,39,1451.66,88,85,5,76,89,2,111,70,57,45,True,True,False,1479419731
43,4186376,1153.14,1964407,1000,28,104,87,46,63,91,3,51,76,42,True,False,True,1492456786
46,5,1294.52,2539098,1000,58,28,25,18,86,107,69,43,26,70,True,False,False,1461412028
47,3,1287.81,4,1160.77,65,23,90,19,73,37,104,1,71,57,True,True,True,1478885664
49,2578382,1000,3332295,1215.38,111,34,23,8,61,6,91,41,76,50,False,False,False,1474560194
85,46,1171.65,2621843,1211.4,58,69,97,94,112,54,2,111,23,79,True,False,True,1461841167
88,1836806,1208.81,1960029,1000,39,55,86,25,93,6,47,87,7,91,False,False,False,1432726640
89,4367924,1000,4324449,1033.15,75,95,74,41,16,64,51,11,84,43,False,True,True,1495238382
91,3335660,1000,726228,1396.74,37,54,107,17,55,51,30,11,33,8,True,True,True,1479545801
92,5,1294.52,2640025,1232.58,102,20,107,106,92,114,33,40,88,98,True,True,False,1490441329
93,1375614,1360.51,3326126,1254.42,28,54,86,110,73,37,8,51,45,49,True,True,False,1479640916
94,2538753,1068.9,2006913,1291.81,79,73,96,26,54,23,16,111,10,34,False,True,False,1476465588
97,1718551,1115.78,1333179,1200.19,25,1,86,7,55,51,50,46,60,48,False,False,True,1442775968
98,1375614,1360.51,5,1294.52,8,107,5,88,11,73,104,20,16,92,True,True,False,1491569553
99,3326875,1269.74,3547682,1156.43,107,109,64,17,53,54,34,96,37,114,False,True,True,1490671749
100,2052902,1000,1236083,1148.26,55,11,79,15,83,3,72,57,20,35,False,True,True,1451236118
103,2672298,1125.65,1061269,1000,23,54,16,75,46,79,76,2,73,103,True,True,False,1477252360
106,5,1294.52,726228,1396.74,54,97,75,34,60,28,5,11,70,96,False,False,True,1492333370
107,15,1511.43,5,1294.52,69,106,92,20,11,26,89,28,25,71,False,True,True,1462960898
108,2621843,1211.4,3332295,1215.38,96,3,63,6,9,84,65,87,34,81,True,False,False,1488214215
187,3586078,1172.24,5076975,1103.63,88,94,20,3,29,78,27,84,8,15,True,False,False,1511260280
189,1927365,1000,2789395,1088.66,55,32,26,93,21,87,8,29,58,9,True,False,True,1469603065
190,2789395,1088.66,350190,1338.47,76,67,26,66,7,13,20,53,8,69,False,True,False,1460293143
193,2640025,1232.58,3318843,1000,32,88,109,20,74,111,76,28,103,6,True,True,True,1474798519
194,3152713,1000,3704482,1096.81,48,65,5,107,49,28,80,86,104,93,False,False,True,1485623555
195,1960029,1000,1520578,1094.09,71,58,74,70,98,99,96,30,47,91,False,False,True,1430643294
196,2537636,1000,2006913,1291.81,37,106,16,33,67,51,5,70,88,1,False,False,False,1494686420
198,2464454,1000,2571536,1067.1,60,25,50,72,36,74,26,99,2,35,False,False,False,1445857854
202,1884355,1113.94,2512249,1155.77,54,103,111,73,78,41,26,31,74,72,False,False,False,1467053496
203,2512249,1155.77,3214108,1401.12,37,2,84,17,95,50,38,51,46,67,False,False,False,1494819479
204,5028043,1085.71,2586976,1351.81,3,107,15,39,29,100,27,57,43,1,False,True,True,1513357484
207,5027210,1303.93,2626685,1210.14,103,48,86,108,34,57,27,83,11,70,False,False,False,1513592917
232,3689321,1000,3333433,1144.45,84,16,70,85,74,86,98,14,18,13,False,False,False,1481847090
236,3331948,1203.45,2640025,1232.58,28,76,3,70,66,2,111,54,107,43,True,True,False,1476861941
